id,trans
filename,scene_evt240628_cp5_q4_s10
translator,GPT4o
info,scene_evt240628_cp5_q4_s10
164,于是，一行人乘上\n格兰赛法号，\n一路前往霍恩瓦群岛。
163,塔拉塔的话，\n姬塔坚定地点了点头。
162,走吧，姬塔小姐。\n塔梅蒙和莱登\n在等着我们。
161,是的，接下来只需前往\n霍恩瓦群岛战斗。
160,眼神不错啊……\n看来你们有什么收获吧？
159,太好了！\n大家都平安回来了！
158,当他们再次睁开眼睛时，\n那里是原来的神殿。
151,横纲的话刚说完，\n姬塔一行的视野变得模糊，\n不由自主地闭上了眼睛。
138,我的弟子们，现在是时候\n前往霍恩瓦群岛，\n打倒塔梅蒙了！
137,（下一个阶段……？）
136,不能再等了。\n我的任务，\n也要进入下一个阶段。
130,嗯……\n那是什么意思……
129,所以我才称你们为弟子，\n并传授了推手。
128,……还不明白吗？\n你们早已\n找到答案了。
127,真正的力量……？
126,那时，你们还未\n领悟到相扑的\n真正力量。
125,……不是。\n准确地说，不完全是。
124,我们第一次来神殿时，\n你没有回应……\n是因为我们太弱了吗？
123,啊，对了……\n有件事我一直好奇。\n
122,以你们现在的实力，\n应该能击败塔梅蒙\n救出莱登。
121,……很好。\n这就是我能传授的\n所有技能。
120,姬塔一行都露出\n仿佛抓住了什么的表情\n看着横纲。
119,然后，横纲全力以赴地\n训练相扑战士们……\n终于结束了训练。
112,不过，「这样就行了」可不能说。\n推手虽然简单，却深奥。\n对塔梅蒙也会有效的一击。
111,看来……他也已经\n成为了伟大的相扑战士。
110,看来你们已经从人鱼王那里\n学到了足够的相扑。\n我能教的很少。
109,这样就行了吗？
108,刚才看到的推手\n还有改进的空间。\n让我们以此为训练内容。
107,还有姬塔、希耶提、\n娜尔梅亚、伊卡洛斯、九太。
106,你「不伤害莱登」\n的决心，\n将会有拯救他的时刻。
105,你有属于自己的\n作为相扑战士的\n新可能性。
104,……看来是我见识狭隘。\n真的很抱歉。
103,横纲闭上眼睛\n思考片刻后，\n转向塔拉塔深深鞠躬。
102,这点从莱登创造岛屿就能看出，\n没想到这个女孩也能再现……
101,战力不只是破坏……\n有时也能「创造」……
100,不，不太懂\n但真厉害……！
99,不经过破坏的阶段，\n直接带来了大地的重生与繁荣。
98,瞬间，草木……！\n虽然和战力类似，\n但这是……
88,嗯……！？\n这到底是……？
78,那滴泪水，滴落到地面上──
77,无力低头的塔拉塔\n眼中掉下一滴泪水。
70,对不起，莱登……
69,是的，没错……\n真正的莱登，现在\n正在拼命战斗……
68,你应该很清楚\n这种犹豫无法拯救莱登。
67,……果然，决心不够。\n你不适合相扑。
66,塔拉塔的推手，无论如何\n都无法贯穿莱登的幻影。
65,对不起，我……\n即使是幻影，我也无法伤害莱登……
64,最后，塔拉塔\n犹犹豫豫地走上前去……
63,继希耶提之后，伊卡洛斯和九太也\n对莱登的幻影施加了推手。
49,我也紧跟其后。\n<span class='scene-font-4'>──胜利！</span>
39,胜利！
38,我也不能输。\n上吧，莱登君……！
33,……真厉害。\n作为女性，展现了令人敬佩的决心。\n超出预期的战力。
31,……！？
30,然后用迅猛的推手\n贯穿了他的身体。
20,────！
18,听到横纲的话，姬塔毫不犹豫地\n快步走向莱登的幻影。
17,来吧，你们……用推手一击\n打倒这个莱登！
16,而且，未来的战斗中\n即使对手看起来像是同伴\n也需要有击倒他们的决心。
15,这是我训练时的莱登的再现。\n半吊子的技能是无法打倒他的。
14,莱、莱登……！？
13,横纲将手伸向空中，\n那里出现了一个与莱登相似的人影。
1,试炼……？
0-synopsis,姬塔一行被横纲命令去击败莱登的幻影。大家接连打倒幻影，但塔拉塔却无法攻击幻影。横纲说塔拉塔不适合相扑，但塔拉塔的泪水创造了生命，展现了作为相扑战士的新可能性。于是姬塔一行接受了横纲的推手训练，前往霍恩瓦群岛。
0-chapter_name,第5話 新的スモウォーリア们
