id,name,text,trans
0-chapter_name,,小さな依頼主,小小委托人
1,男の子/男孩,すごいや！\nほんとに魔物やっつけちゃった……\n騎空団ってかっこいい！！,好厉害！\n真的把魔物打倒了……\n骑空团太帅了！！
2,女の子/女孩,魔物やっちゅけてくれてありがとう！\nお礼の木の実とキラキラの石ころ！\nそれにきれいな羽もあげゆ！,谢谢你们帮忙打跑魔物！\n这些树果和亮闪闪的石头作为谢礼！\n还有漂亮的羽毛也送给你们！
3,ルリア/露莉亚,ふふ、こんなに素敵なお礼を頂けて\n頑張った甲斐がありました！\nね、姬塔！,呵呵，能收到这么棒的谢礼，\n真是没白努力呢！\n对吧，姬塔！
4,シェロカルテ/榭洛科特,うふふふふ～\nおかげで、この子達の\n笑顔を守ることができました～,呵呵呵呵～\n多亏了大家，\n才守住了孩子们的笑容呢～
5,シェロカルテ/榭洛科特,さすがですね～！\n姬塔さん達！\n頼りになりますね～,不愧是你们呢～！\n姬塔大家！\n真是可靠呢～
6,ビィ/碧,へへん、これくらいお安い御用だぜ！\nま、何か困ったことがあったら\nいつでも相談してくれよな！,哼哼，这点小事包在我们身上！\n要是遇到什么困难的话\n随时都可以来找我们商量哦！
7,シェロカルテ/榭洛科特,あらあら～？\nそんなのやってられっかー！　って\n言ってませんでした？,哎呀呀～？\n刚才谁说的\n“那种事谁干得下去啊！”来着？
8,ビィ/碧,いや、その……\nそ、それは、ほら……,哎，那个……\n那、那个嘛，你看……
9,シェロカルテ/榭洛科特,うふふふ、これからも\nみなさんのご活躍を期待してますね～\nでは早速、次の依頼なんですが～……,呵呵呵，今后也\n期待着各位的活跃表现哦～\n那么事不宜迟，关于下一个委托～……
10,ビィ/碧,うわ、おい！\nちょっとは休ませてくれー！,呜哇，喂！\n稍微让我们休息一下啊！
info,,,scene_free6_q3_s20
译者,,,gcli-gemini-3.1-pro-preview
