id,trans
filename,scene_evt210629_cp6_q3_s10
translator,Gemini
info,scene_evt210629_cp6_q3_s10
95,英格威带着德里福德一行\n离开了桑拿房。
94,（这到底是什么事啊）
92,哼……\n跟我来就知道了。
89,那个到底是什么……
88,差不多该\n挑战一下那个了。
87,与英格威一起\n蒸桑拿的德里福德一行。
86,是！
85,好了。\n暖和暖和吧。
84,…………
83,曾经的雏鸟\n如今也成为了引路之人。
82,不……\n我之类的还差得远……
81,才一段时间没见，\n你已经\n成长为一名成熟的桑拿客了。
80,哈哈哈……那就好。
75,德里福德向英格威\n讲述了桑拿巡礼途中\n发生的各种事情。
74,是……\n托您的福，我体验到了很多东西。
72,桑拿巡礼之旅\n怎么样？
71,英格威大人！？
70,哟，德里福德。\n我一直在等你。
69,就这样，德里福德一行\n进入桑拿房——
64,好了……走吧！
63,啊，都到这地步了，我不会再逃了。
62,所以……\n请相信我到最后……！
61,……抱歉。\n但是，我感觉今天\n能蒸透……！
60,你也不知道吗！
59,我也不知道……
58,那个嘛……？
57,那个嘛……
56,那个，蒸透了\n到底是什么感觉？
55,啊……
54,艾鲁大人也\n坚持到最后没有逃跑，\n真是辛苦你了。
53,今天应该能好好地蒸一下。
52,啊……状态\n越来越好了。
51,好了……\n这是最后一次桑拿了。
50,再次补充完水分后\n回到桑拿房的德里福德一行。
44,那么……\n我们就先走一步了。
43,我们还打算\n在这里休息一会儿。
42,肌肤接触到外面的空气\n逐渐变得干燥的旋律……\n真是舒服啊。
41,哦……身心都……\n得到了治愈……\n也要让朋友们感受这份治愈……总有一天……
40,啊……那个……
39,阿拉南大人他们呢？
36,享受了一段时间露天浴的德里福德一行\n准备前往进行第三次桑拿。
35,（还不错……）
34,（总觉得比刚才的露天浴\n身体更加暖和\n感觉很温暖……）
33,…………
32,啊……
31,结束了与阿拉南他们一起的冷水浴后，\n德里福德一行\n再次来到庭院进行露天浴。
25,（大叔又变多了，\n这到底是怎么回事……）
24,（一动不动的话，身体就好像\n被一层薄膜包裹住一样\n不可思议地感觉不到冷……）
22,或许……是有一点……
21,……怎么样？\n是不是比刚才轻松一点了？
19,但是……随着一次次地重复冷水浴，\n也会逐渐习惯那份冰冷。
18,曾经的我\n也认为冷水浴只不过是种折磨。
17,习惯了冷水浴\n轻松进入冷水池的\n德里福德一行，与独自一人\n露出痛苦表情的艾鲁。
16,咕……
15,哈啊……
14,与阿拉南他们一起\n进入冷水池的\n德里福德一行。
11,啊！\n失礼了。
10,那么，就与我等一同\n进入冷水池吧。
9,等、等蒸完桑拿就好好地跟她们说\n我是这么想的！
8,对重要的朋……\n对心爱的姬塔小姐她们……\n想说的时候，就应该说出来。
7,喂喂！\n该不会是怕了吧\n不会吧？
6,不……\n说起来还没谈……
5,怎么样？\n从那以后和夫人谈过了吗？
4,嗯？哦！\n这不是德里福德大人吗！
3,这……！\n阿拉南大人，扎扎大人，巴库拉大人！
2,冷水池前\n是几张熟悉的面孔。
1,与维恩和珀西瓦尔分别后\n走出桑拿房的德里福德一行，\n前往冷水池。
0-synopsis,德里福德一行偶然与阿拉南他们重逢，并一起享受了冷水浴和露天浴。在最后一次，也就是第三次蒸桑拿时，他们遇见了英格威。英格威认可了德里福德作为一名成熟桑拿客的实力，说着「差不多该挑战一下那个了」，便将德里福德一行带往了某处。
0-chapter-name,第六话 再访，微风之汤
