id,name,text,trans
0-chapter_name,,贈りたいもの,想送的礼物
0-synopsis,,聖夜が近づく中、姬塔にプレゼントを贈りたいと考えたエウロペ。しかし人間の文化に疎いエウロペはプレゼントに何を贈ればいいかわからず、ルリアやビィ、ガブリエルに相談を持ち掛ける。「自分の贈りたいものを贈ればいい」「姬塔としたいことを考えてみて」とアドバイスを受け、ついに贈りたいものに辿り着いたエウロペは、特別な衣装に着替えると雪山で夜な夜な作業を行うのだった。,圣夜临近，想给姬塔送礼的欧罗巴。然而不熟悉人类文化的欧罗巴不知该送什么礼物，便向露莉亚、碧、加百列咨询。得到“送自己想送的就好”“考虑一下想和姬塔做的事”的建议后，欧罗巴终于找到了想送的礼物，她换上特别的服装，在雪山夜晚进行工作。
1,,その日、姬塔達が\nグランサイファーの中を歩いていると、\n目の前に人影を見つけた。,那天，姬塔她们在格兰赛法号内走着，发现前方有一个人影。
2,,なにやら落ち着かない様子であり、\n姬塔達には\n気づいていないようである。,看起来有些心神不宁，似乎没有注意到姬塔她们。
3,エウロペ/欧罗巴,…………,…………
4,ルリア/露莉亚,あ、エウロペさんです。,啊，是欧罗巴小姐。
5,ビィ/碧,よお！\nどうかしたのか？,哟！你怎么了？
6,エウロペ/欧罗巴,皆様……ごきげんよう。\nなにかしていたわけではないのですが、\n少し艇の雰囲気に違和感を覚え……,各位……你们好。倒不是在做什么，只是觉得艇内的气氛有些不对劲……
7,ルリア/露莉亚,なにかありましたか……？,发生了什么事吗……？
8,エウロペ/欧罗巴,皆様、どこかそわそわとされており、\n時おり「プレゼント」という言葉も\n聞こえてくるのです。,大家看起来都心神不定，时不时还能听到“礼物”这个词。
9,ビィ/碧,へへ、なんでぇ！\nそんなの決まってるじゃねぇか！,嘿嘿，这还用说！那当然是因为那个啦！
10,ルリア/露莉亚,そうですよ！\nもうすぐ聖夜ですからね！,是啊！因为马上就要到圣夜了嘛！
11,エウロペ/欧罗巴,まぁ……聖夜。\n私、忘れておりました。,哎呀……圣夜。我给忘了。
12,ビィ/碧,そいつらはきっと\nプレゼントになにを贈ろうか\n考えていたんだろうな。,他们一定是在考虑送什么礼物吧。
13,エウロペ/欧罗巴,そういうことですか。\n<span class='scene-font-2'>プレゼント……確かに……</span>,原来如此。\n<span class='scene-font-2'>礼物……确实……</span>
14,エウロペ/欧罗巴,ですが、\n皆様、どなたにプレゼントを\nお渡しするのでしょう？,不过，各位是要把礼物送给谁呢？
15,ルリア/露莉亚,それは……\n人によって違うんじゃないでしょうか？,这个……因人而异吧？
16,ビィ/碧,そうだな。\n贈りたいヤツに贈るもんだろ。,是啊。想送给谁就送给谁嘛。
17,エウロペ/欧罗巴,そうなのですね。\nありがとうございます。\n疑問が氷解いたしました。,是这样啊。谢谢。我的疑惑解开了。
18,,納得した様子のエウロペの笑顔を見て\n姬塔達はその場を離れていく。,看到欧罗巴露出释然的笑容，姬塔她们打算离开那里。
19,,……はずだったが、\nエウロペの手がビィとルリアに伸び、\nその肩をそっとつかんだ。,……原本以为是这样，但欧罗巴伸手拉住了碧和露莉亚的肩膀。
22,ビィ/碧,おわっ……？,哇……？
23,ルリア/露莉亚,はわわ……！\nど、どうしたんですか？\nエウロペさん……,哇哇……！怎、怎么了？欧罗巴小姐……
24,エウロペ/欧罗巴,姬塔様、申し訳ございません。\nビィ様とルリア様に\n折り入ってお話がありまして……,姬塔大人，非常抱歉。我有点私事想跟碧大人和露莉亚大人谈谈……
30,,姬塔はその場を離れ、\nエウロペとビィとルリアが残った。,姬塔离开了，留下了欧罗巴、碧和露莉亚。
31,ビィ/碧,なんだよ？\n折り入って話って……,干嘛啊？有什么要紧事……
32,エウロペ/欧罗巴,驚かせてしまったこと、\nお詫び申し上げます。\nご相談させていただきたいことが……,让你们受惊了，我很抱歉。我有一事想和你们商量……
33,エウロペ/欧罗巴,プレゼントというものは\nなににすればよいのでしょうか？,礼物该送什么才好呢？
34,ビィ/碧,ざっくりとした質問だな……,好笼统的问题啊……
35,ルリア/露莉亚,気持ちがこもっていれば\nなんでも嬉しいと思いますよ！,只要心意到了，我想送什么都会让人开心的！
36,ビィ/碧,まぁそうだと思うぜ。\nこういうのはモノじゃなくて、\nもらうことが嬉しいじゃねぇか。,我也是这么想的。重要的不是东西，而是收到礼物这件事本身就让人高兴嘛。
37,エウロペ/欧罗巴,そう……なのですか……,是这样吗……
38,エウロペ/欧罗巴,（確かに私がガブリエル様や\n姬塔様からなにかいただけたら\nそれは無上の喜びとなるでしょう……）,（的确，如果我能从加百列大人或姬塔大人那里收到什么，那将是无比喜悦的事……）
39,エウロペ/欧罗巴,（しかし、逆はどうか……\n私などのプレゼントでも\n喜んでいただけるでしょうか……？）,（但是，反过来又如何呢……我送的礼物，也能让人开心吗……？）
40,エウロペ/欧罗巴,（人の子の営みの一環として\n聖夜の贈り物があるのであれば、\n私もそれに倣いたい……）,（如果圣夜的礼物是人们习俗的一环，那我也想效仿……）
41,エウロペ/欧罗巴,（いいえ……それは嘘。\n私は姬塔様に\nプレゼントを贈りたいだけ……）,（不……那是假的。我只是想送姬塔大人礼物而已……）
42,ビィ/碧,お、おい……,喂、喂……
43,エウロペ/欧罗巴,（姬塔様は以前、\n私に素敵なお花をくださいました。\nそのお礼もしたい……）,（姬塔大人以前送过我美丽的花。我也想回礼……）
44,,エウロペはかつてアウギュステで\n姬塔からもらった花束を\n氷漬けにして大切に保管している。,欧罗巴将过去在奥古斯特从姬塔那里收到的花束冻在冰中，小心保管着。
45,ルリア/露莉亚,あの……エウロペさん？,那个……欧罗巴小姐？
46,エウロペ/欧罗巴,（かといってこの私に、\n物体に気持ちを込めることなど\n可能なのでしょうか……）,（不过，像我这样的人，能把心意注入物品之中吗……）
47,エウロペ/欧罗巴,（気持ちとは、心……\n私の心を姬塔様に\nどのようにお渡しすれば……）,（心意就是心……我该如何将我的心交给姬塔大人呢……）
48,ビィ/碧,おい！,喂！
49,エウロペ/欧罗巴,……ビィ様？\nどうかなさったのですか？,……碧大人？你怎么了？
50,ビィ/碧,めちゃくちゃこっちのセリフだぜ。\n急に黙ってなんなんだよ？,这话该我说才对。你突然沉默什么啊？
51,エウロペ/欧罗巴,申し訳ございません。\n心とはどのようなものなのか、\n少し考え込んでしまいました。,非常抱歉。我刚才在思考心是什么东西，一时入了神。
52,ビィ/碧,なにがどうしてそうなったんだ……？,怎么会想到那边去的……？
53,ルリア/露莉亚,ふふ……それにしてもエウロペさん、\nなんだか変わりましたよね。\nこの艇に来た頃と比べると。,呵呵……不过话说回来，欧罗巴小姐，你好像变了不少呢。和刚来这艘艇的时候相比。
54,ビィ/碧,へへっ、まぁそうだな～\nあの頃はなんだかもうちょっと\nとっつきにくい感じがしたもんだぜ。,嘿嘿，是啊～那时候感觉你有点不好接近呢。
55,ビィ/碧,でもいまじゃすっかりって感じだな。\nちょっと人間っぽく見えるぜ。,不过现在完全变了样。感觉有点像人类了呢。
56,エウロペ/欧罗巴,まぁ……\nこの私が……？,哎呀……我……？
57,ルリア/露莉亚,はい。\nなんだか柔らかくなった気がします。,是的。感觉你变得柔和多了。
58,エウロペ/欧罗巴,そのようなことを言われるとは\n思いもしませんでしたが……,没想到你们会这么说……
59,エウロペ/欧罗巴,私は空の世界の常識を見誤って\n皆様にご迷惑をおかけすることもあり、\n慎重に行動しなくてはいけません。,我有时会误解空之世界的常识，给大家添麻烦，所以我必须谨慎行动。
60,エウロペ/欧罗巴,ですので、いささか\n買いかぶりすぎではないかと……,所以，你们是不是有点过奖了……
61,ビィ/碧,それも最近じゃ\nあんまりなくなってんだろ。\nそんなに気にすんなよな。,最近这些事也少了很多吧。别太在意了。
62,ルリア/露莉亚,そうですよ。プレゼントのことも\nエウロペさんのしたいようにしたら\nいいんじゃないでしょうか。,就是啊。关于礼物的事，欧罗巴小姐按照自己的想法去做不就好了吗？
