id,trans
filename,scene_evt250210_manaberi
translator,Gemini
info,scene_evt250210_manaberi
50,就这样，为了治好恰恰杰洛，\n在艾凡杰琳同行的情况下，\n玛那的解析开始了。
49,呼呼，姬塔小姐，\n感觉会很热闹呢。\n我们这就出发吧！
48,喂喂……\n真心话都说漏嘴了啊。
47,所以带我一起去吧。\n让我尽情地大闹一场……\n不，是报答你们。
46,根本不需要什么报酬。\n只是和我们一起行动而已。
45,也会作为\n报酬借给姬塔小姐。\n这条件不错吧？
44,玛那解析结束后，\n我会把恰恰杰洛调整成能以<span class='scene-font-spword'>「玛那贝利」</span>的身份\n行动。
43,哼，你以为我是谁？\n姬塔小姐的玛那\n我已经能看得清清楚楚了。
42,但是就算说是观察，\n玛那那东西又看不见吧？
41,呼……那我们只要，\n像往常一样接受委托，\n和魔物战斗就可以了呢。
40,我会在一旁分析你们的战斗。\n只要能在战斗中观察并\n记录玛那的动向就没问题了。
39,蠢蜥蜴。\n玛那可不是能物理取出的东西。
38,喂喂……\n所谓的帮忙，难道是说要\n解剖我们吗？
37,要调整这个的话，\n首先需要解析空之世界生物体内\n玛那的作用。
36,玛那，也就是「魔之渊源」的性质，\n与恰恰杰洛的素体相性不好。\n所以他才会时不时做出并非本意的举动。
35,玛那……？
34,是空之世界的<span class='scene-font-spword'>「玛那」</span>。
33,我的研究和调查有了结果，\n恰恰杰洛失调的\n原因找到了。
32,啊，艾凡杰琳……！\n我才不是蜥蜴！
31,高兴吧，蜥蜴。\n我会让你们帮我的忙的。
30,原因不明的失调啊。\n要是有什么我们能做的\n就好了……
29,嘿嘿嘿……\n本来想在空之世界大闹一场\n结果却跳起了舞。
28,正是如此。\n但主人供给的魔力\n并没有什么变化。
27,恰恰杰洛先生是，\n艾凡杰琳小姐的从者，\n是靠她的魔力行动的对吧？
26,我这边状态很不好。\n身体时不时会自己动起来。
25,啊啊……\n我本来在甲板上保养武器，\n不知什么时候却跳起了难看的舞。
24,……魔力失调？
17,姬塔慌忙跑了过去，\n抱起恰恰杰洛\n把他带回了房间里。
16,<span class='scene-font-4'>哇哇！？</span>\n突然就倒下了！
14,嘿……嘿……
13,唔……\n不太像啊。
12,一直在转圈呢。\n很喜欢跳舞吗？
5,嘿嘿嘿……
1,哦，在那里的是，\n恰恰杰洛吗？
0-synopsis,自从来到空之世界后，恰恰杰洛就一直状态不佳。艾凡杰琳表示，空之世界的「玛那」与恰恰杰洛的相性有问题，为了解析玛那，她想在姬塔一行战斗时在一旁进行分析。她说在解析玛那之后，会将恰恰杰洛调整为能够以「玛那贝利」的身份行动，并将其借给姬塔一行人使用。姬塔一行欣然同意协助她进行分析。
