id,trans
filename,scene_evt181031_trust8
translator,gpt-4o-2024-08-06
info,scene_evt181031_trust8
48,烹饪技能提升了50！
46,请多关照！
45,那么，在了解了コピ・レオル之后，就来教你咖啡的冲泡方法。
44,这么想也是情有可原。不过，コピ・レオル的风味是通过发酵获得的。
43,原来是这样啊……因为味道那么奇特，我还以为是不同寻常的树……
42,嗯……那棵树本身并不是特别稀有的品种。很遗憾，答错了。
41,是植物的名字！没错！
40,烹饪技能提升了100！
38,请多关照！
37,那么，在了解了コピ・レオル之后，就来教你咖啡的冲泡方法。
36,呵呵，我会好好闻个够的！
35,虽说不上是幻影，但也不是经常能见到的东西。磨豆时的香气也可以好好享受。
34,由于コピ・レオル产量少，非常稀有，因此价格高昂。
33,嗯……不过，露莉亚很快就能分辨出来了。
32,在捡豆子的时候分不清是土块还是豆子块，非常辛苦所以记住了！
31,呵……答对了。果然对露莉亚来说太简单了。
30,是魔物的名字！是那个咖啡园里像毛茸茸小猫一样的家伙吧？
28,烹饪技能提升了75！
26,请多关照！
25,那么，在了解了コピ・レオル之后，就来教你咖啡的冲泡方法。
24,原来如此。我不会再记错了！
23,コピ・レオル是レオル吃下后未消化排出的豆子。因此得名。
22,在那个咖啡园里的魔物……那就是名为レオル的。
21,呜～……我记错了……
20,不……那个岛并不是这个名字。很遗憾，你答错了。
19,是地方的名字！我记得是在叫レオル岛的地方产的咖啡豆，不是吗？
18-sel3_txt,是植物的名字！
18-sel2_txt,是魔物的名字！
18-sel1_txt,是地方的名字！
18,コピ・レオル的、レオル……！那是……
17,「コピ・レオル」中的「レオル」是什么的名字？……试着回答吧。
16,我明白了！心跳加速……
15,那么，为了复习我出一道题。如果你记得以前的事情，这道题应该不难。
14,嗯……果然只是教咖啡的冲泡方法太无聊了。
13,诶？是这样吗？
12,虽说是教冲泡方法，但炒豆和研磨的过程与其他咖啡没有太大区别。
9,是啊，我第一次品尝的时候也因为太好吃而不由得赞叹。
8,有类似香草的风味，虽然有点苦涩但很醇厚，非常美味！
7,就是「コピ・レオル咖啡」。这种咖啡以其独特的风味而闻名，是一种稀有的商品。
4,嗯，这次要做的是……
3,帕西瓦尔先生，今天请多关照！
2,这一天露莉亚向帕西瓦尔学习如何冲泡「コピ・レオル咖啡」。
0-chapter_name,与龙骑士们的烹饪课
