id,trans
filename,scene_ult_chr028_ep2_q3_s10
translator,gemini-3.1-pro-preview
info,scene_ult_chr028_ep2_q3_s10
27,面对高文一反常态的语气，\n姬塔虽然吃惊，\n但还是架起了剑。
26,来吧，把后背交给我！！\n姬塔！！
25,笨蛋……该保护你们的，是我才对。\n一直以来不都是这样吗……\n所以，别再为我分心了。
24,……喂，姬塔。\n你以为就凭你也能保护我吗。
23,哼，看着你们这副没出息的战斗模样，\n我都顾不上那些了。\n仅此而已。
22,你、你这家伙……\n身体……！？
21,姬塔安然无恙。\n因为重新站起来的高文\n替她挡下了那一击。
20,什么！？
18,被不知所措的高文\n吸引了一瞬注意力的姬塔，\n遭到了士兵的挥剑袭击。
17,危、危险！\n姬塔！！
16,趁现在！！
15,（那个时候也是，因为不想让同伴\n遭遇危险……\n所以才一个人去了魔导师那里……？）
14,（难道一直以来……我都在潜意识里……\n想要保护同伴吗……？\n所以，我才会一直保护他们……？）
13,同伴……吗……？\n……难道，我……？
12,同、伴……？
11,之前也说过了吧……！！\n因为我们是同伴！！
10,面对满脸困惑的高文，\n卡塔莉娜一边弹开敌人的刀刃，\n一边回答道。
9,为什么，为什么……\n为什么要为了我……\n做到这种地步……
8,是是是，我们是笨蛋！\n但是，我们就是没法不管你啊！
7,是因为在分心管我吧！\n一群笨蛋……！！
6,喂……你们在玩什么……！！\n以你们的实力……！！\n应该马上就能解决吧！
5,姬塔立刻上前\n掩护，弹开了剑刃。
4,怒吼着的士兵\n朝着无法动弹的高文\n挥下了剑。
3,啊……对这家伙心怀怨恨的\n可不止我们国家的士兵啊！！
2,说什么……？\n难道还有人在埋伏吗！？
1,可、可恶……\n援军还没来吗……！？\n太慢了吧……！！
0-synopsis,姬塔一行人一边保护高文一边与士兵们战斗。高文质问姬塔等人“为什么要关心我”。被回答“因为我们是同伴”后，高文心中萌生了新的感情。为了同伴重新振作的高文，弹开了袭击姬塔的士兵的剑，豪言保护姬塔是自己的责任。
0-chapter_name,温暖的真意
