id,trans
filename,scene_evt151007_cp5_q1_s10
translator,Gemini
info,scene_evt151007_cp5_q1_s10
48,在他怀中，那个双胞胎玩偶的表情\n似乎柔和了一些，\n这绝对不是\n灯光的缘故——
47,皮埃尔用右手抱着卡埃尔\n左手抱着那个双胞胎玩偶，\n向前走去。
46,太好了呢，卡埃尔。\n你交到朋友了！
45,说着，皮埃尔便将那个双胞胎玩偶\n抱了起来。\n然后笑着轻声说道——
44,嗯，也是。\n孤零零的，一定很寂寞吧！
43,…………
42,嗯……\n卡埃尔，怎么办？
41,卡埃尔的……双胞胎？
40,那是一个破破烂烂的\n和卡埃尔一模一样的玩偶。
39,在辉他们离开后的拍摄现场角落\n皮埃尔发现了什么东西，便将其捡了起来。
38,咦？
36,但由于广告拍得太好了，\n最终还是得到了原谅。
35,就这样，三人被那位大人物\n狠狠地训斥了一顿\n——
32,我们一起去道歉吧？
31,没关系的。\n我会陪着你们的，卡埃尔也会。
30,就是啊，薫先生。\n我们没有阻止他，也有责任。\n虽然现在说什么都晚了……
29,樱庭，别说这种话嘛……\n我们可是同伴啊。
28,我和柏木没有动手。\n用红色剑殴打他的\n只有你吧，天道。
27,嗯，就是大制作人！
26,喂喂，等一下……\n你的意思是说？\n我们揍扁的那个魔物……
25,反被他教训了一顿？\n他说他被教训了！
24,大制作人\n想穿着魔物玩偶服吓唬辉你们……
23,三人很快就明白\n所谓的大制作人\n就是这部电影广告的总负责人。
22,去大制作人那里！
21,诶，去哪里？
20,对，没错！\n我有事要做！\n他说要把你们都带过去。
19,大制作人，\n气冲冲的。
18,嗯？但是？\n是发生什么事了吗，皮埃尔？
17,但是……
16,学到了\n好多好多东西！\n制作人很高兴！
15,原来如此。\n怎么样？我们的演技。\n多少能作为参考吗？
14,制作人说要来参观。\n让我好好学习\n你们的演技。
13,这不是皮埃尔吗？\n你怎么会在这里？
12,啊，终于找到你们了！\n这拍摄地真大！\n我迷路了。
10,就在这令人难以释怀的氛围中\n一阵耳熟的声音\n传入了三人的耳中——
9,你们俩都这么说了……\n搞得我\n也开始有这种感觉了。
8,对吧？\n樱庭你也是这么觉得的吧？
7,天道，你也是吗？
6,不，那倒也是……\n总觉得好像\n发生过什么很重要的事……
5,辉先生，我明白你的感受。\n这次拍摄实在太开心了\n感觉一下子就过去了。
4,嗯……\n总觉得哪里怪怪的？
3,是的！全部拍完啦！\n辛苦了！！
2,嗯……\n咦？已经结束了吗？
1,DRAMATIC STARS 各位！\n辛苦了！
0,好，咔——！
0-synopsis,等回过神来时，发现自己身处之前拍摄广告的摄影现场。结束所有拍摄工作的 DRAMATIC STARS 成员们，察觉到自己已经想不起在空之世界生活的记忆。就在辉他们对此感到不可思议时，皮埃尔突然出现，并告知了他们一个重大的事实。
0-chapter_name,结局
