id,trans
filename,scene_evt241115_cp6_q3_s10
translator,gpt-4o-latest
info,scene_evt241115_cp6_q3_s10
50,对于突如其来的行动，利姆露和姬塔只能相视一看。
49,啊……？
48,用拼命的表情低下头的维尔德拉和米莉姆的复制体。
47,求求你！！请──救救我们！！
46,等、等下！请等一下！！
45,嘛，不管怎样都把它们吃掉吧。『暴食之──』
44,似乎因为重量的缘故，维尔德拉在做噩梦，而利姆露移开了视线。
43,呃，呃……再一次被封印……再一次被封印我不要啊……！
42,哼哼哼～～♪
41,…………
40,伊维亚在躺在床上的维尔德拉的肚子上蜷着身子坐着。
39,睡得舒服的才是真的！也就是说睡着的才是真的～！
37-sel1_txt,睡着的那个是假的吧？
37,都是一样的脸啊……一直看下去就搞不清楚了……
36,没想到隐藏起来的我们这么容易就被看穿了……
33,哼，被发现了也没办法……
30,也是呢。喂，出来吧。早就被发现了哦。
29,咦！？
28,床下的家伙们应该知道吧。
27,哈，原来如此……该怎么办呢，突然摘掉会没问题吗？
26,推测未能被『万能感知』探测到也是因为这个原因。
25,告。由于头部装上的机器，两人的『魔素』持续发生紊乱。
24,嗯。两人的『魔素』流动似乎不太好……
23,嗯……？好吧，是这样吗。戴在头上的这个就是制造复制体的『机械』吗？
22,比起这个，得赶紧想办法救两人！！！
21,没、没什么啦～哈哈哈～～～……
20,怎么了？ 发生什么事了？
19,啊，诶！？这、这个……
18,正如拉米莉丝所说，维尔德拉和米莉姆的头上连接着奇怪的机器。
17,<span class='scene-font-4'>师父～！</span>这是怎么回事，竟然被装上了这种奇怪的机器……！
16,<span class='scene-font-4'>哦！！</span>终于找到了，是真货！
15,嗯，是本物。毫无疑问。
14,已经完成。个体名为维尔德拉·暴风，个体名为米莉姆·纳瓦。是本人。
13,（智慧之王先生，麻烦解析一下……）
12,哈……不，这种感觉是……嗯，好吧……还是调查一下吧。
11,头上有奇怪的机器……？ 看起来睡得很熟呢……这些人也是复制体吗？
10,有些家伙看起来睡得很幸福啊……
9,房间里放着的简陋床上，维尔德拉和米莉姆躺在上面。
8,嗯呢……朱菜的点心……最喜欢了～嘿嘿～
7,呃……住手……朋友……那『圣典漫画』的剧透就别……
2,而在他们追赶的地方，展开了一幅令人惊讶的景象——
1,交战中，姬塔一行发现了两个行为可疑的复制体，并追了上去。
0-synopsis,在追踪复制体的过程中，利姆露和姬塔一行发现了被连接在制造复制体的机器上、幸福地沉睡着的原版维尔德拉和米莉姆。为了询问唤醒的方法，一行人向藏在床下的奇怪复制体搭话。就这样现身的维尔德拉和米莉姆的复制体不知为何请求一行人帮助。
0-chapter_name,第6话 天灾级的噩梦
