id,name,text,trans
0-chapter_name,,第5話 やだ！,第5话 才不要！
0-synopsis,,狸の群れのいざこざが解決し、ヒフミは棄権を撤回。大会は無事決勝が行われることとなる。ヒフミはヨウ達に礼を言いつつも、何故ここまでしてくれるのかと問う。それにヨウは、ヒフミをライフセーバーとして認めていること、だからこそ勝ちたいのだと伝える。それを聞いたヒフミは、改めてヨウ達と決勝で戦い、勝つと宣言するのだった。,狸族的纷争得到解决，一二三也撤回弃权，比赛得以顺利举行决赛。一二三向容等人道谢，同时问她们为何愿意为自己做到这一步。容告诉她，自己认可一二三是一名救生员，正因如此才想战胜她。听到这番话，一二三再次宣告，要在决赛与容等人堂堂正正地交手并取得胜利。
1,ヨウ/容,はぁ～、よかったな。\nなンとか、棄権の撤回が\n間に合って！,哈～太好了。\n总算赶上撤回弃权了！
2,ヒフミ,本当にお騒がせしました……！\n諸々……本当に……！,真的给各位添麻烦了……！\n各种事情……真的……！
3,スイ/翠,気にする必要ないですよ。\n悪いのはあの古狸さん達ですし。,不用放在心上。\n错的是那些老狸。
4,スイ/翠,それに、私達はヨウちゃんに\n協力しただけですからね。,而且，我们只是帮了容而已。
5,ヒフミ,うう……ヨウちゃんには\n何から何まで……！\nありがとうぅ～！,呜呜……容真是从头到尾\n都在帮本狸……！\n谢谢你～！
6,ヨウ/容,やめろって！\nなンかこう、違ぇンだよ！,都说别这样了！\n总觉得这样不太对劲儿！
7,ヨウ/容,オレがお前と戦いたくて、\nあと、あのたぬきがムカついた！\nそンだけ！,我只是想跟你较量，\n还有，那只狸惹得我很火大！\n就这么简单！
8,ヨウ/容,それに、ああやって周りに\nゴチャゴチャ言われてひとりで\n抱え込むのは、ダメだ。,而且，被周围的人指手画脚，\n还一个人把事情全憋在心里，\n这样可不行。
9,ヨウ/容,ヤベェって知ってたンだよ。\n追い詰められて、とンでもねぇことを\nしちまうから……,我知道那有多危险。\n人一旦被逼到绝境，就会干出\n不得了的事……
10,ヒフミ,そうですね……ぽんは……\n一族も空の民も幸せに暮らすには\nああするしかないと思っていましたが。,是啊……本狸原以为……\n要让族人和空之民都幸福生活，\n就只能那么做。
11,ヒフミ,仕事に、交易に……\n今の里はもう、空の民との交流が\nなかったら成り立ちません。,无论工作还是贸易……\n如今的村子要是没了与空之民的往来，\n根本维持不下去。
12,ヒフミ,里を閉鎖したら\nぽん達は、滅びていました……,要是封闭村子，\n本狸一族早晚会灭亡……
13,ヨウ/容,それでもいいって気分だったンだろ。\n……わかるよ。,但你当时觉得那样也无所谓吧。\n……我懂。
14,ヒフミ,やらなくてよかったと、\n今は心の底から思っています。\nだから、ありがとう。ヨウちゃん。,如今，本狸发自内心地庆幸\n自己没有那么做。\n所以，谢谢你，容。
15,ヒフミ,それにしてもヨウちゃんは、どうして\nそんなにぽんと戦いたいんですか？,话说回来，容为什么\n这么想和本狸较量呢？
16,ヒフミ,ぽんはその……正直、ダメダメです。\n純粋に、競技者としても……,本狸这个……说实话，实在很没用。\n单从参赛者的角度来看也是……
17,ヨウ/容,やめろって。\nお前がダメダメだったら、それに\n負けたオレはもっとダメだろ。,都说别这么讲了。\n要是你很没用，那输给你的我\n岂不是更没用。
18,ヒフミ,はい？\nぽんがヨウちゃんに勝った？\n……いつ？,啊？\n本狸赢过容？\n……什么时候？
19,ヨウ/容,一族のことがかかってる大事な場面で、\n勝つことよりオレ達、他の選手を\n助けにきただろ。,在事关你们一族的紧要关头，\n你没有只顾着取胜，而是来救了\n我们这些其他选手吧。
20,ヨウ/容,あの時、お前が\n一番ライフセーバーだった！\nオレはあの時、お前に負けたンだよッ！,那一刻，你才是\n最称职的救生员！\n我那时就已经输给你了！
21,ヒフミ,っ……！,……！
22,ヨウ/容,決勝トーナメント、今度こそ勝つから！\nだから、逃げンなよッ！,决赛淘汰赛里，我这次一定会赢！\n所以，你可别逃啊！
23,スイ/翠,まあ、まず一回戦で当たれるかっていう\n問題があるんですけどね……\nジョエルさん達もいますし……,不过，首先还有第一轮\n能不能碰上的问题……\n毕竟还有乔尔先生他们……
24,ヨウ/容,やる前から諦めンなッ！\nジョエルサン達が相手でも……\nこう……ウン……,别还没打就放弃啊！\n就算对手是乔尔先生他们……\n这个……嗯……
25,コウ/蔻,結果じゃなくて、\n諦めないのが大事ですよね。\n<span class='scene-font-2'>結果じゃなく……</span>,重要的不是结果，\n而是不放弃，对吧。\n<span class='scene-font-2'>不是结果……</span>
26,スイ/翠,あーもう諦めてます！\nそれは諦めてる！,啊——已经放弃了！\n你这明明就是放弃了！
27,ヒフミ,……ふふっ！\nあははははっ！,……呵呵！\n啊哈哈哈哈！
28,ヒフミ,そうですか。ぽんはあの人のように、\nライフセーバーになることが\nできていたのですね。,这样啊。原来本狸也曾像那个人一样，\n成为一名救生员了呢。
29,ヨウ/容,お前も、きっかけになった人が\nいンのか……？,你也是因为某个人的影响，\n才走上这条路的吗……？
30,ヒフミ,はい。あの人は、たぬきだって\nわかっても、ぽんをちゃんと\n助けてくれて……,是的。那个人就算知道\n本狸是狸，也依然认真地\n救了本狸……
31,ヒフミ,あの頼もしさとあたたかさは、\nずっと忘れられません。,那份可靠与温暖，\n本狸永远都不会忘记。
32,ヒフミ,色々と事情はありますけど、\nこの大会中だけは、あんな風に\nなりたいと思っていました。,虽然有着种种缘由，\n但至少在这届比赛期间，\n本狸一直想成为那个人那样的救生员。
33,ヒフミ,それが、ぽんのあの人への\n恩返しだと！,因为那就是本狸\n对那个人的报恩！
34,ヨウ/容,なンだ。\nそこは一緒だったンだな、オレ達。,什么嘛。\n原来这点上，我们是一样的啊。
35,ヨウ/容,オレも、ジョエルサンに見せたいンだ！\nちゃンとライフセーバーに\nなれたってとこ！,我也想让乔尔先生看看！\n我已经真正成为\n救生员了！
36,ヒフミ,ふふっ、じゃあヨウちゃんは\n絶対にぽん達に勝たなくちゃですね！,呵呵，那容可就\n非得战胜本狸一队不可了！
37,ヒフミ,……わかりました。\nぽんも、正々堂々勝ちに行きます。,……本狸明白了。\n本狸也会堂堂正正地争取胜利。
38,ヒフミ,きっと、あんなにすごい\nヨウちゃん達に勝てたら、\nあの人への最高の恩返しになるから！,毕竟，只要能战胜\n这么厉害的容一队，\n就是对那个人最好的报恩！
39,ヨウ/容,おうッ！,好！
40,,様々なしがらみから解放された\nふたりは、ただ純粋な闘志を\n露わにする。,从重重束缚中解脱的两人，\n展露出了纯粹的斗志。
41,,己が、ライフセーバーであると。\n憧れの存在に近づいたと\n証明するために。,为证明自己是一名救生员，\n也证明自己已更接近\n心中憧憬的那个人。
47,,一方、諦めない者は\nここにもいた。,与此同时，不肯放弃的人\n在这里也有。
48,強気な古狸,<span class='scene-font-4'>クソッ！　クソッ！</span>\n若造が我らを侮りおって……！\n許さぬ、絶対に許さぬ……！,<span class='scene-font-4'>可恶！　可恶！</span>\n区区小辈竟敢轻视我等……！\n不可饶恕，绝对不可饶恕……！
49,強気な古狸,そうだ……我らが、我らだけが……\n初代の意志を継いでいるのだ……！,没错……我等，唯有我等……\n才继承了初代的意志……！
50,,そう言いながら、古狸は地面から\n小さな箱を取り出した。,老狸一边这么说，\n一边从地下取出了一个小盒子。
51,冷静な古狸,もはやこれに頼る他ない、か。,事到如今，只能依靠这个了。
52,臆病な古狸,やれやれ、やめておいた方が\nいいと思うがのぅ……,唉呀唉呀，老朽觉得\n还是不要这么做为好……
53,強気な古狸,どうか、我らに力を……\n初代よ……！,请赐予我等力量……\n初代啊……！
