id,name,text,trans
0-chapter_name,,懐古の旅路,怀旧之旅
1,,とある村での依頼を終えて、\n島の沿岸に泊めてある\nグランサイファーへと戻る道中──,在一个村子里完成委托后，\n在返回停泊在岛屿沿岸的\n格兰赛法号的途中──
2,,姬塔達は、歩きながら\n思い出話に花を咲かせていた。,姬塔等人一边走着，\n一边津津有味地谈论着往事。
3,ビィ/碧,ははっ、\n今じゃ普通に騎空士やってるけど、\n思えば色々あったよなぁ。,哈哈，\n现在虽然很普通地做着骑空士，\n但回想起来还真是发生了许多事啊。
4,ルリア/露莉亚,はいっ！\n仲間もたくさん増えましたよね。\n毎日、賑やかで楽しいです！,是啊！\n同伴也增加了许多呢。\n每天都热热闹闹的，非常开心！
5,ビィ/碧,へへ、最初は姬塔とオイラと\nルリアと姐さんだけだったもんな。\nそんな時にウェルダーに会って……,嘿嘿，一开始只有姬塔、我和\n露莉亚还有大姐头嘛。\n那时候遇到了维尔德……
6,ルリア/露莉亚,そうですね！\nふふ、ウェルダーさんの次に出会った\nあの人のことも思い出しちゃいます！,是啊！\n呵呵，也让人想起了\n继维尔德先生之后遇到的那个人呢！
7,ビィ/碧,ああ、懐かしいなぁ！\n姬塔も覚えてるだろ？\nほら、アイツだよ！,啊，好怀念啊！\n姬塔也还记得吧？\n你瞧，就是那家伙啊！
7-sel1_txt,,%s,%s
7-sel2_txt,,%s,%s
7-sel3_txt,,%s,%s
7-sel4_txt,,%s,%s
8,ビィ/碧,そんな……\n嘘……だよな？,怎么会……\n不会……吧？
9,ルリア/露莉亚,うぅ……\n覚えて……ないんですか？,呜……\n你……不记得了吗？
10,,ビィとルリアが、\n悲しげな表情で\nこちらをじっと見つめてくる。,碧和露莉亚\n用悲伤的表情\n一直注视着这边。
11,,その瞬間、姬塔の\n視界がぐにゃりと歪み、\n目の前が真っ暗になった──,那一瞬间，姬塔的\n视野发生了扭曲，\n眼前变得一片漆黑──
14,,間違った答えを選択したため、\nクエストから撤退します。,因为选择了错误的答案，\n将从任务中撤退。
15,,「リスト」等で\nこれまでの出来事を振り返り、\n再チャレンジしてみましょう！,在“列表”等地方\n回顾一下至今为止发生的事情，\n再来挑战一次吧！
17,ビィ/碧,そうそう、そいつだ！\nありゃ運命の出会いだったよな！,对对，就是那家伙！\n那可是命运般的相遇啊！
18,ルリア/露莉亚,はい！\nどんなに仲間が増えても、\nやっぱり忘れられませんよね！,是的！\n不管同伴增加多少，\n果然还是无法忘记呢！
19,,姬塔達は笑い合いながら、\n森の中を進んでいく。,姬塔等人相视而笑，\n继续在森林中前进。
