id,trans
filename,scene_evt220228_cp11_q3_s20
translator,Gemini
info,scene_evt220228_cp11_q3_s20
40,以这，调停之力！
39,倒退扭曲的因果\n就由我再次将它\n拨乱反正。
38,我是不会输的……
37,<span class='scene-font-4'>哼！</span>\n这次也要把你打得落花流水！
36,是曾经交过手的对手。\n可不能落后啊。
35,啊，我知道。\n我绝不会让他们碰她一根手指……！
34,卡塔莉娜，你\n要保护好露莉亚\n的身体。
33,姬塔……来了。\n看来要阻止吉欧，\n只能战斗了。
32,虽然说多少遍都一样，\n但我绝不承认特异点的复活。
31,我说，现在可不是\n担心苍之少女的时候吧？
30,但是，要怎么做才能让露莉亚……
29,是吗……\n既然姬塔你这么说，\n那我也相信。
28,所以姬塔相信，\n露莉亚一定能回来。
25,没事的。你们一定能回去的。\n回到那个世界……回到\n在等待着你们的大家身边。
22,而且她也记得尤妮的话。
21,姬塔能感觉到自己与露莉亚之间的\n连接并未断开。
20,没事是什么意思？\n你难道知道些什么！？
19,姬塔制止了\n流露出不安和愤怒的\n伊欧和美杜莎。
17-sel1_txt,没事，
17,吉欧！\n你……！
16,不可能吧？
15,那、那会怎么样……？\n露莉亚还能回来吗！？
14,苍之少女，\n或许是在你复活时的扭曲中\n被吞噬了。
13,都这样了，\n发生什么都不奇怪了。
12,你扭曲了世界的因果\n才得以回到这里。
11,特异点的复活，是对长久以来\n一直在调停空之世界\n的星之力量的否定。
10,没什么意思，就是字面意思。
9,你说什么……吉欧，这是什么意思？
8,听到这冰冷的声音，\n众人转过脸去。
7,或许是在哪里\n因果被扭曲了吧。
6,不知道……\n但是，或许……
5,这样的话，姬塔醒过来\n露莉亚也应该会醒过来才对……\n为什么……？
4,露莉亚她，明明\n没有负伤，却像是在\n追随姬塔一样倒下了。
3,啊，没错。\n倒下的时候，受到攻击的\n只有姬塔……
2,怎么回事？\n露莉亚和姬塔\n不是用生命链接互相连接着吗？
1,……露莉亚她，\n现在依然听不到心跳。
0-synopsis,露莉亚为何没有醒来，原因无人知晓。但姬塔能感觉到自己与露莉亚之间的连接并未断开。姬塔等人相信露莉亚一定会回来，并决心与企图再次杀害姬塔的吉欧战斗。
0-chapter_name,抵抗者们
