id,trans
filename,scene_chr083_q2_s20
translator,Gemini
info,scene_chr083_q2_s20
38,虽然没能获得称号，但被尊敬的前辈\n认可为优秀的骑士，\n对她来说是最大的荣耀。
37,就这样，围绕着骑士称号\n法拉的战斗落下了帷幕。
36,优秀的……骑士……\n嘿嘿嘿！\n虽然只是结果论！
35,这多好啊！\n我觉得这是非常符合骑士精神的选择！\n你已经是一位优秀的骑士了！
34,呵呵……不过。\n为了撮合素不相识的两个人，\n竟然连财富和名誉都放弃了。
33,喂喂……\n别太沮丧了。\n谁都会有冲动的时候……
32,……嘿嘿，那个，\n还好我弃权了……
29,谢谢你。\n这份恩情我一定会报答的。\n……再会。
28,谢谢你，法拉小姐。
27,祝二位白头偕老！
26,原来是这样！\n我……\n不，这样也好！
25,由于法拉的弃权\n青年们递补成为了冠军……\n而这也帮助那对年轻人实现了他们的梦想。
24,据说青年和女性为了结婚，\n需要获得骑士称号并在这片土地上效力。
23,青年们说出了原委。
22,你们是决赛时……
21,抱歉，\n能耽误您一点时间吗……
20,那个……
19,嗯？\n那些人，好像是……
18,你已经很努力了，法拉。\n在这里取得的胜利，是宝贵的实绩……
17,哎呀哎呀，所以我才说……\n不过，这也是个测试实力\n的好机会嘛。
16,对不起！前辈！\n我作为后辈……都没脸见您了！
15,呜呜呜……都怪我太着急了，\n把前辈们卷入了这场毫无意义的战斗……
14,好了，回艇上去吧……\n怎么了？法拉。
12,就这样，放弃优胜的一行人\n离开了竞技场。
11,我弃权！\n我放弃优胜！
10,什么！？\n那可……
9,那……那可不行！\n我还要和卡塔莉娜前辈一起\n继续旅行呢！
8,……确实，仔细想想\n这是理所当然的！
7,原来是这样吗！？
6,嗯？那个……\n说起来这场比赛本来就是\n为了招募侍奉我的骑士……
5,哎……哎！？\n请等一下！\n您的骑士是什么意思……
4,嗯。从今以后，作为我的骑士，\n你要守护领土……
3,又能向卡塔莉娜前辈更近一步了！\n真开心！
2,太好了！\n这样一来……\n我也能成为真正的骑士了！
1,主办者出现在众人面前，\n开始举行颁奖仪式。
0,与魔物战斗后，\n姬塔一行险胜。
0-synopsis,法拉被任命守护领土，作为交换将获得骑士称号，但她为了继续与伙伴们旅行而拒绝了这份荣耀。正当法拉为自己的徒劳无功而沮丧时，递补成为冠军的对手青年和一位女性出现在她面前，并向她表达了感谢。原来，这对青年男女必须获得骑士称号才能结为夫妻，而法拉则在不知不觉中帮助他们实现了梦想。
0-chapter-name,骑士的资格
