id,name,text,trans
0-chapter_name,,あなたのおうちはここですよ,你的家在这里哦
0-synopsis,,遠くからコンスタンツィアを呼んでいたのはコンスタンツィアを探しに来たメイドのドロシー達だった。メイド達を見た少年はコンスタンツィアを本物の王様と認める。そして、シャローム島では魔物が自由に暮らせるという言葉を信じ、匿っていた魔物をコンスタンツィア達に託す。魔物達と共に帰路につくコンスタンツィアは、魔王として少しだけ凛々しくなっていたのだった。,从远处呼唤康斯坦茨娅的是前来寻找康斯坦茨娅的女仆多萝西等人。看到女仆们的少年认可了康斯坦茨娅是真正的魔王。然后，他相信了夏洛姆岛上魔物可以自由生活的说法，将藏匿的魔物托付给了康斯坦茨娅她们。与魔物们一同踏上归途的康斯坦茨娅，作为魔王稍微变得有些英姿飒爽了。
1,サリエリア/瑟芮娅,ご無事ですか\nコンスタンツィア様ぁ～！,您没事吧\n康斯坦茨娅大人～！
2,コンスタンツィア/康斯坦茨娅,わぷっ！？,哇噗！？
3,,コンスタンツィアの前に、\n彼女に仕えるメイド達が\n続々と現れた。,在康斯坦茨娅面前，\n侍奉她的女仆们\n陆续出现了。
4,ドロシー/多萝西,やっぱりコンスタンツィア様でした～！\n魔法を使ってくれたおかげで\nすぐ分かりましたよ☆,果然是康斯坦茨娅大人呢～！\n多亏您使用了魔法\n我们马上就找到了哦☆
5,クラウディア/克劳迪娅,お迎えに上がりました。\n猫共々、ご無事で何よりです。,我们来迎接您了。\n连同小猫一起，您平安无事比什么都好。
6,ドロシー/多萝西,まぁ……色々あった\nみたいですけどね☆,嘛……虽然好像发生了\n各种各样的事情呢☆
7,魔物,グルル……？,咕噜噜……？
8,コンスタンツィア/康斯坦茨娅,ひ、ひぅぅ……\nごめんなさい、皆さん……,咿、咿呜呜……\n对不起，大家……
9,コンスタンツィア/康斯坦茨娅,猫ちゃんが逃げちゃいまして、\n急いで追いかけて、\nそれで私ぃ……！,小猫逃跑了，\n我急忙去追，\n然后我就……！
10,ドロシー/多萝西,も～！\n何かあったなら\nすぐ呼んでください！,真是的～！\n如果发生了什么事\n请立刻叫我们！
11,クラウディア/克劳迪娅,責任を感じるのはよろしいですが、\nあまりお一人で\n背負い込まれませんよう。,感到责任是好事，\n但请不要一个人\n承担过多。
12,サリエリア/瑟芮娅,そうですよ、\nボク達がいるんですから！\n困った時はお助けします！,就是啊，\n因为有我们在啊！\n困难的时候我们会帮忙的！
13,コンスタンツィア/康斯坦茨娅,は、はいぃ……,是、是的……
14,,コンスタンツィアとメイド達の\nやりとりを呆然と見ていた少年は、\nようやく口を開いた。,呆呆地看着康斯坦茨娅和女仆们\n交流的少年，\n终于开口了。
15,少年,メ……\nメイドだ……,女……\n是女仆啊……
16,少年,メイドがいるってことは\n本当に王様なのか……,有女仆的话\n就真的是国王吧……
17,コンスタンツィア/康斯坦茨娅,ど、どういう基準です……？,这、这是以什么为基准……？
18,少年,さっき、シャローム島なら\nそいつは自由に暮らせるって言ったな。\nそれも本当か！？,刚才你说，如果是夏洛姆岛\n那家伙就能自由生活。\n那也是真的吗！？
19,コンスタンツィア/康斯坦茨娅,……ええ、本当ですよ。,……嗯，是真的哦。
20,コンスタンツィア/康斯坦茨娅,もしよければ、この子を\nシャロームに連れて帰りたく\n思うのですが……,如果可以的话，我想\n把这孩子带回夏洛姆\n但是……
21,少年,…………,…………
22,少年,そいつが、\n特別だっただけなんだろうな。,那家伙，\n只是特别情况罢了。
23,少年,あの人達の言い分もわかる……\nそいつは多分、この島には\nいるべきじゃないんだ。,我也明白那些人的说法……\n那家伙大概，不应该\n待在这个岛上。
24,コンスタンツィア/康斯坦茨娅,そうですね……,是啊……
25,少年,だから、うん。,所以，嗯。
26,少年,任せたからな、\n魔王様。,就交给你了，\n魔王大人。
27,コンスタンツィア/康斯坦茨娅,はい！\n責任を持って預かります。,好的！\n我会负起责任照顾它的。
28,コンスタンツィア/康斯坦茨娅,貴方もいつか\nシャロームに遊びに来てくださいね！\nとっても、いいところですから。,你也总有一天\n要来夏洛姆玩哦！\n因为那是个非常好的地方。
29,少年,……ああ！,……啊啊！
31,,少年と約束を交わし、\nコンスタンツィア達は小型艇で\nシャローム島への帰路についた。,与少年交换了约定，\n康斯坦茨娅她们乘坐小型艇\n踏上了返回夏洛姆岛的归途。
36,子猫/小猫,マーオ。,喵～
37,魔物,グルル……,咕噜噜……
38,サリエリア/瑟芮娅,猫ちゃん、お友達が出来て\n良かったですね。,小猫，交到朋友\n真是太好了呢。
39,コンスタンツィア/康斯坦茨娅,そうですねぇ～！\n可愛いですぅ～！,是呢～！\n好可爱呀～！
40,ドロシー/多萝西,お城に連れ戻されるっていうのに\nこんなに明るいコンスタンツィア様\n初めて見ました☆,虽然是被带回城堡，\n这么开朗的康斯坦茨娅大人\n我还是第一次见到☆
41,コンスタンツィア/康斯坦茨娅,私の方こそ、皆さんのお迎えが来て\n安心する日が来るなんて……,我才要说呢，竟然会有\n大家来接我、让我感到安心的一天……
42,クラウディア/克劳迪娅,家出の帰路は大抵、\n泣き叫んでおられましたからね。,因为离家出走的归途，\n您大多都是哭闹着的呢。
43,コンスタンツィア/康斯坦茨娅,そういえば皆さん、\nどうして私のいる島が\n分かったんです？,话说回来大家，\n怎么知道我在哪个岛的？
44,クラウディア/克劳迪娅,申し訳ございませんが\n仔細はお教え出来かねます。,非常抱歉，\n详情无法告知您。
45,ドロシー/多萝西,こちらはこちらで\nいろいろあったとだけ☆,我们这边也经历了不少\n只是这么说吧☆
46,コンスタンツィア/康斯坦茨娅,へ？,诶？
47,ドロシー/多萝西,私達がどう追いかけたのか知ったら\n絶対に次の家出で\nウラをかくじゃないですか！,要是知道我们是怎么追的，\n下次离家出走时\n您绝对会耍花招的吧！
48,コンスタンツィア/康斯坦茨娅,<span class='scene-font-4'>そんなぁ！？</span>\nも、もう家出も脱走もしませんよぅ！,<span class='scene-font-4'>怎么这样！</span>\n我、我已经不会离家出走和逃跑了啦！
49,コンスタンツィア/康斯坦茨娅,……たぶん。,……大概。
50,,自信なさげに首をかしげる主に、\nメイド達は少しだけ笑みをこぼした。,对着缺乏自信地歪着头的主人，\n女仆们微微露出了笑容。
51,クラウディア/克劳迪娅,少なくとも、魔王としての\n決意は信じておきましょう。,至少，您作为魔王的决意，\n我们就相信一下吧。
52,クラウディア/克劳迪娅,臆病な貴方様が、\n魔物のため立ち上がられた。\nそれだけでも十分です。,胆小的您，\n为了魔物站了出来。\n仅此就已足够。
53,ドロシー/多萝西,期待しておりますよ、\n魔王様☆,我们很期待哦，\n魔王大人☆
54,サリエリア/瑟芮娅,応援してますっ！,我会支持您的！
55,コンスタンツィア/康斯坦茨娅,……はい！,……好的！
56,,その声色には以前に比べ、いくらか\n重みと威厳が籠っているように思える。,那个声音，与以前相比，总觉得\n多了几分厚重和威严。
57,,いつの間にやら\nどこか凛々しくなった主の姿を、\nメイド達は微笑んで見つめるのだった。,不知何时已变得有几分英姿飒爽的主人，\n女仆们微笑地注视着。
info,,,scene_chr980_q4_s10
译者,,,deepseek-v4-pro
