id,name,text,trans
0-chapter_name,,不屈のクッキング,不屈的烹饪
0-synopsis,,アマツタケを採取して戻ってくると、ベアトリクスは早速調理に取りかかる。その間、ゼタは彼女がいつも功を焦る理由を語る。ベアトリクスは幼い頃、「組織」の敵に全てを奪われ、その失った名誉と地位を挽回すべく屈強に生きていた。やがて料理は完成するが、やはりお菓子の味がする。一層ムキになるベアトリクスは、今度はサラダを作ると言い出すのだった。,采回甘雨茸后，贝阿朵丽丝立刻开始烹饪。期间，泽塔道出了她总是急于求成的原因。贝阿朵丽丝小时候被“组织”的敌人夺走了一切，为了挽回失去的名誉和地位，她一直坚强地活着。不久料理完成，但味道依然像甜点。越来越不服输的贝阿朵丽丝，宣称这次要做沙拉。
0,,奇跡的にベアトリクスは	\nアマツタケの採集に成功した。,奇迹般地，贝阿朵丽丝\n成功采到了甘雨茸。
1,ゼタ/泽塔,よ、よく見つかったね……\nアマツタケ……,居、居然真的找到了……\n甘雨茸……
2,ベアトリクス/贝阿朵丽丝,うん……てか……\nキノコって妙な形してるんだな……,嗯……话说……\n蘑菇的形状还真奇怪啊……
3,ビィ/碧,えっ……まさか、\n青い姉ちゃん……\nキノコも初めてなのか……？,哎……难道说，\n蓝衣大姐姐……\n也是第一次见蘑菇吗……？
4,ゼタ/泽塔,うっそ！？\n料理できんのアンタ！？\nあたしが料理してこようか？,不会吧！？\n你真的会做饭吗！？\n要不还是我来做吧？
5,ベアトリクス/贝阿朵丽丝,い、いや！\nゼタの手は借りない！\n私一人でなんとかできる！　……たぶん。,不、不用！\n不需要泽塔帮忙！\n我一个人能搞定！……大概。
6,ビィ/碧,いまたぶんって……,你刚才说大概了吧……
7,ベアトリクス/贝阿朵丽丝,言ってない！！　余裕だよ余裕！！\nつ、作ってくるから、\n黙って待ってろ！！,没说！！小菜一碟小菜一碟！！\n我、我去做了，\n你们就乖乖等着吧！！
9,ゼタ/泽塔,はぁ……もう、\n負けず嫌いなんだから……,唉……真是的，\n太不服输了……
10,ビィ/碧,あー……もしかして\nやたら強がってるのって、\n赤い姉ちゃんに負けたくねぇからか？,啊……难道说\n她这么爱逞强，\n是因为不想输给红衣大姐姐吗？
11,ゼタ/泽塔,ん、私だけじゃないと思うよ。\nベアは誰にだって、\n負けたくないんだと思う。,嗯，我觉得不只是我。\n贝阿大概是对任何人，\n都不想认输吧。
12,ルリア/露莉亚,誰にだって？\nどういうことですか？,对任何人？\n这是什么意思？
13,ゼタ/泽塔,……まぁ話さないわよね。\n自分の弱みなんて。,……也是，她怎么会说呢。\n自己的软弱之处。
14,ゼタ/泽塔,あの子、すごく手柄に\n執着してるでしょ？,那孩子，对功劳\n非常执着吧？
15,ビィ/碧,そういえばそうだな……\nやたら星晶獣を狩りたがるし、\n功績がどうのっていつも言ってるな。,说起来确实是这样……\n总是很想讨伐星晶兽，\n还经常念叨着功绩什么的。
16,ビィ/碧,一体、なんでなんだ？\nオイラ達ずっと疑問だったんだよ。,这到底是为了什么？\n我们一直都觉得很纳闷呢。
17,,ビィの言葉に\n姬塔は頷いて見せる。,听到碧的话，\n姬塔点了点头。
