id,trans
filename,scene_evt180331_cp0_q1_s10
translator,gpt-4o-2024-08-06
info,scene_evt180331_cp0_q1_s10
147,然而，短暂的和平被黑色机甲打破。此刻，新的对人类的威胁诞生了。
146,对破坏兽的特殊武装和罗波美，通过这些技术的发展，破坏兽已不再是威胁。
141,黑……黑色的巨型战斗服……！？
136,那么，清理开始吧。
113,哇啊啊啊！？
112,……哼！
88,什……什么！？罗波美不是你制造的吗……！
87,唯有破坏。
69,……我在做什么？
66,……对了，不就是开发罗波美的机械技师志郎吗！离开研究艇在干什么？
65,不过，总觉得在哪见过这张脸。
64,给他安排一台罗波美护送避难。再准备些衣物。
63,喂喂……你这打扮，是在洗澡吗？这个时候被袭击真是倒霉啊。
62,怎么了，你。是没来得及逃跑吗？
61,…………
60,……嗯？
59,那么，在引导人们避难的同时，前往增援。
58,是的。不过，其他地区似乎还有几只在肆虐。
57,呼……出现的破坏兽差不多都已清除。
55,阿巴巴……
53,只要他们在，人们的和平就能得到守护。
52,面对破坏兽们的袭击，奋起反击的是装备特殊武器的城市防卫队。
50,哦——！
49,确认敌方斥力场已解除！城市防卫队，进攻！
48,喷丘波！？
40,────！！
37,发现破坏兽！<span class='scene-font-4'>罗波美，出击！</span>
36,不！
33,面对呆立的人们，破坏兽无情地袭来。此恶行，难道无人能阻止——
32,沙巴巴啊啊啊！
31,罗生门研究艇位于遥远的岛屿上。曾与破坏兽战斗的钢铁战士志郎并不在此岛。
30,莫咕咕……姆吉加加……
29,呃……啊……
28,但为时已晚。前路被破坏兽堵住，他们已无处可逃。
27,哇啊啊啊！？
26,兹比兹巴啊啊啊啊！
22,人们惊恐万分，争先恐后地四处逃窜。
14,大……大家快避难！快！
13,这个警报……！是破坏兽出现了吗！？
12,城市的宁静被响起的警报打破了！
10,然而——
9,既没有魔物出现，连恶徒们也不敢大摇大摆地走动，是空之世界中数一数二的和平城市。
2,这里是一个不起眼的城市——或者说，可能是你居住的城市。
0-synopsis,某个平和的城市中出现了破坏兽。然而现在，破坏兽已不再是人类的威胁。通过普及的量产型罗波美及对抗破坏兽的武器，人们已经获得了对抗破坏兽的手段。然而如今，伴随破坏兽们出现了新的威胁。身着黑色巨型战斗服的青年以压倒性的力量摧毁了量产机。守护城市的防卫队看到青年的脸后低声说道：「为什么……是志郎？」
0-chapter_name,序章
