id,name,text,trans
0-chapter_name,,恋?恋?恋,
0-synopsis,,悲劇的なリッチの話だったが、すぐに全て嘘だったことが判明。さらに帰ってきたロゼッタにより、リッチがジェームズに一方的な片想いをしていた当時の真実がばらされ、リッチは羞恥心から走り去る。その後ロゼッタから、リッチがボンビーを探すため入団したがっていると聞いた姬塔達は、リッチを旅の一員として迎えることに決めるのだった。,
2,,その話が語り終わる頃には、\n喫茶室に重たい沈黙が漂い、\nルリアの嗚咽が響き渡っていた。,故事讲完时，咖啡馆里沉重的沉默弥漫，露莉亚的啜泣声回荡在空气中。
3,ルリア/露莉亚,うっうっ……うぅ……\nそんなのあんまりです……,呜呜……呜呜……\n这太不公平了……
4,ルリア/露莉亚,りっちょさんもジェームズさんも、\nおたがい本当に想い合ってたのに……,莉丝小姐和詹姆斯先生，\n彼此真心相爱着……
5,リッチ,るりっちょ……,露莉亚……
6,ルリア/露莉亚,りっちょさんが前に進むためには、\nボンビーをこのままにできません……,为了莉丝小姐能够向前迈进，\n我们不能就这样放任那个“ボンビー”……
7,ルリア/露莉亚,姬塔。\n私達も何か協力できませんか？\nさっきの話を聞いて放っては──,姬塔。\n我们能不能做些什么呢？\n听完刚才的故事，就这样放着──
8,ビィ/碧,<span class='scene-font-4'>ちょっと待った。</span>\nその前に聞いてもいいか？\n嬢ちゃんの話なんか妙だぜ。,<span class='scene-font-4'>稍等一下。</span>\n我能问个问题吗？\n小姐的故事有点奇怪啊。
9,リッチ,お？\nなァにビィたそ……,哦？\n什么事，碧先生……
10,ビィ/碧,だってキスで人間が星晶獣になる？\nそんなのさすがに有り得ねえだろ。,人类通过吻变成星晶兽？\n这太荒谬了吧。
11,ビィ/碧,あと馬車で轢死ってよ……\nなんかちょっとマヌケすぎねえか？,还有被马车轧死的事……\n这不是有点太愚蠢了吗？
12,ルリア/露莉亚,<span class='scene-font-4'>ビィさん……！</span>\nひどいですあんまりです！,<span class='scene-font-4'>碧……！</span>\n太过分了太过分了！
13,ルリア/露莉亚,星晶獣は謎が多いんですよ！\n馬車の前に立ってたのも愛ゆえです！,星晶兽的事情很复杂！\n站在马车前面也是出于爱！
14,ビィ/碧,でもキャッキャウフフってなんだよ？\nその愛の思い出が曖昧っていうかさ。,但是“恰恰 呜呼呼”是什么意思啊？\n这种爱的回忆有点模糊不清吧。
15,ルリア/露莉亚,そういうのは……\nだって100年前の話なので……,那个嘛……\n毕竟是100年前的事情……
16,ビィ/碧,そもそもなんでボンビーなんだ？\n人間だった頃の名前で呼ばねえのか？,首先，为什么叫“ボンビー”呢？\n不是应该用他人类时的名字吗？
17,ルリア/露莉亚,えっと……\nりっちょさん……？,嗯……\n莉丝小姐……？
18,リッチ,思い出すと辛いの……\nジェイソンのことが頭をよぎって──,想起来就很痛苦……\n脑海中闪过了杰森的事情──
19,ビィ/碧,<span class='scene-font-4'>ジェームズだろ。</span>\nジェイソンって誰だよ。,<span class='scene-font-4'>应该是詹姆斯吧。</span>\n杰森是谁啊。
20,リッチ,あ……,啊……
21,リッチ,ムフ。,嘻嘻。
23,ロゼッタ/萝赛塔,ただいま。\n話は終わった？,我回来了。\n故事结束了吗？
24,リッチ,終わったよ……\n全空が泣いたね。,结束了……\n全空域都在哭泣哦。
25,ビィ/碧,<span class='scene-font-2'>なんにも始まってねえよ……</span>\nこの嬢ちゃん滅茶苦茶だぜ。,<span class='scene-font-2'>啥也没开始呢……</span>\n这位小姐真是太混乱了。
26,ロゼッタ/萝赛塔,ちょっとりっちょ。\nアナタまた人間を揶揄ってたの？,等等，莉丝。\n你又在捉弄人类了吗？
27,リッチ,イヒ……\nちょっと話を盛っちゃったかも？,嘻嘻……\n或许我有点夸张了？
28,ルリア/露莉亚,あはは……\nでもどこまでが冗談だったんですか？\nジェームズさんの存在も嘘だったり？,哈哈……\n但是到底哪些是开玩笑呢？\n詹姆斯先生的存在也是假的吗？
