id,trans
filename,scene_evt150930_cp4_q2_s10
translator,Gemini
info,scene_evt150930_cp4_q2_s10
10,确实。\n今天就先休息一下，\n养精蓄锐吧。
9,……在这种疲惫的状态下继续讨论，\n也思考不出什么好办法吧。
8,(这么说来……斯卡蒂诞生的原因\n就是我吗……！)
7,…………
6,正是那些负面情绪，\n赋予了它获得躯体的\n力量吧。
5,在斯卡蒂诞生的那个年代，\n魔物肆虐的阿尔斯特岛上\n充斥着人们的愤怒和悲伤。
4,就如同我借助你的魔力得到了暂时的\n躯壳一样吧。
3,……但是，从斯卡蒂身上，\n我感觉到的不仅仅是魔力，\n还有确实存在的实体。
2,斯卡蒂……
1,那是斯卡蒂……\n我的愤怒本身。
0,姬塔一行回到了会议室\n讨论着关于黑龙的事情。
0-synopsis,斯卡哈推测，那条黑龙，也就是斯卡蒂，就像自己借助赫尔艾斯的魔力得到了暂时的躯壳一样，也是借由在阿尔斯特岛上盘旋的人们的愤怒和悲伤，才获得了龙的姿态。听到这话的诺伊修，想到斯卡蒂诞生的原因在于打倒了迪尔姆德的自己，陷入了深深的自责。
0-chapter_name,第四话 愤怒的黑色羽翼
