id,name,text,trans
0-chapter_name,,第2話 宿命と因縁,第2话 宿命与因缘
0-synopsis,,たくさんの騎空挺を破壊しながら空の世界を回遊し、軌道の修正のため定期的にユディスティラ島に姿を現すと言う星晶獣アルバコア。アルバコアを仕留めるならこの島以外にはありえないのだと、シグは姬塔達に語る。漁団員達は、七代続く因縁も、シグが必ず終わらせるのだと信じて疑わない。大きな期待を背負い、シグは改めて決意を固めるのだった。,据说星晶兽阿尔巴科尔一边破坏众多骑空艇一边在空之世界巡游，为了修正轨道会定期出现在尤迪斯蒂拉岛。希格告诉姬塔一行，要想捕获阿尔巴科尔的话除了这座岛别无他选。渔团的成员们毫不怀疑延续了七代的因缘也一定会被希格画上句号。背负着巨大的期望，希格再次下定决心。
0,ならず者１/暴徒１,おい、お前ら！\n遅れるんじゃねーぞ！,喂，你们！\n可别落后了！
1,ルリア/露莉亚,はぅぅー！\nま、待ってくださーい！,好的！\n请、请等一下！
2,シグ,こらっ！\nここぞとばかりに姬塔達に\n厳しくするんじゃないよ！,喂！\n不要借此机会\n对姬塔他们太严厉！
3,ならず者１/暴徒１,ひぃっ！？\nす、すいやせん！,咿！？\n抱、抱歉！
4,,行動を共にする\n姬塔一行とドゥルガ漁団は、\n沿岸の巡回警備を行っていた。,与姬塔一行同行的\n杜尔加渔团，\n正在进行沿海巡逻警戒。
5,シグ,さぁ！　キビキビ動きな！\n姬塔達に、\n負けるんじゃないよ！,来吧！动作麻利点！\n可不能输给\n姬塔他们哦！
6,ならず者１、２,おうっ！,好！
8,シグ,さて……\nそれで、どこまで話したっけね？,那么……\n说到哪里了呢？
9,ウェルダー/维尔达,そうだな……\n俺とジェイドの物語（永訣編）の\n中盤くらいまでは語ったような……,是啊……\n好像讲到了我和杰德的故事\n（永别篇）的中段……
10,カタリナ/卡塔莉娜,い、いや、\nそれはまた\n別の機会にでも聞くとして……,不、不是，\n那个就留到\n下次有机会再听吧……
11,カタリナ/卡塔莉娜,星晶獣アルバコアは、\n空の世界を回遊しているんだったか？,星晶兽阿尔巴科尔，\n是在空之世界巡游对吧？
12,シグ,そうそう！\n奴は決して、\n止まるってことをしないのさ。,对对！\n那家伙从来，\n不会停下来。
13,シグ,その上、とんでもない速さでね……\nアルバコアに穴をあけられた騎空艇を\nあたしはいくつも見てきた……,而且，速度快得离谱……\n我见过好几艘被阿尔巴科尔\n打出窟窿的骑空艇……
14,ビィ/碧,ごくり……\nオ、オイラ達も、\n他人事じゃなかったってことか……,咕噜……\n我、我们也不能\n置身事外啊……
15,シグ,しかし、そんなアルバコアが、\n水……海に入るため速度を落とし……,但是，就连那样的阿尔巴科尔，\n为了进入水中……大海，速度会减慢……
16,シグ,かつ、軌道の修正のためか、\n定期的に周囲を何周かするのが、\nこのユディスティラ島ってことさ。,而且，可能是为了修正轨道，\n会定期绕着周围转几圈，\n那个地方就是尤迪斯蒂拉岛。
17,シグ,だからアルバコアは各地に現れるけど\n仕留めるなら、\nこの島以外にはありえないんだよ。,所以阿尔巴科尔虽然会出现在各地，\n但要捕获的话，\n除了这座岛别无他选。
18,ウェルダー/维尔达,しかし、七代続く因縁とは、\n大したものだな……,不过，延续了七代的因缘，\n真是了不得啊……
19,ウェルダー/维尔达,フォレストレンジャーもいずれ、\nあの森に代々伝わる存在として……,森林游侠也总有一天，\n会成为那片森林代代相传的存在……
20,カタリナ/卡塔莉娜,アルバコアとの因縁も\nそれだけ続いていると思うと、\n恐ろしい話だな……,一想到与阿尔巴科尔的因缘\n持续了那么久，\n真是可怕的事啊……
21,ならず者１/暴徒１,だが、その因縁は\n近々ボスが終わらせるに違いねぇよ！,但是，老大肯定会\n在近期把那个因缘了结掉的！
22,ならず者２/暴徒２,なにせボスは歴代最高の実力者だしな！\nなにせボスは歴代最高の実力者だしな！\n先代の娘でもあるし……,毕竟老大是历代最强的人！\n而且还是前代的女儿……
23,シグ,あ、ああ……大丈夫さ。\nあたしの代で必ず……\n必ず奴との決着をつけてみせる……,啊，嗯……没问题的。\n我这一代一定会……\n一定会和那家伙做个了断……
info,,,scene_evt140731_cp2_q1_s10
译者,,,Claude 3 Opus
