id,trans
filename,scene_evt260515_cp3_q2_s10
translator,假流式-gemini-3.1-pro-preview
info,scene_evt260515_cp3_q2_s10
115,啊，知道了。\n赶紧走吧。
114,面对邀请他们前往某处的\n将军，爱德华向同伴们使了个眼色，\n回答道。
112,……在这里进行\n进一步的交涉似乎不太合适。\n我们换个地方吧。
111,灵魂的固定……肉体的更换……？\n难道真的有这种事，但是……\n如果您知道那种法术的话……
110,我的这副身体，也是为了贾纳特\n而制作的。\n这下能证明了吧？
109,这下证明了吧？\n这个人是货真价实的\n传说的炼金术师卡里奥斯特罗。
107,将灵魂转移到其他物体上的法术。\n这就是炼金术师卡里奥斯特罗的\n不死的秘密。
106,什么……！？
105,然后，向贾纳特军将军\n展示了里面空无一物的样子。
102,阿尔冯斯慢慢地\n举起了自己的头盔。
101,什么……？
100,关于这个，直接看看\n我的里面比较快。
94,既然如此——
93,真正的卡里奥斯特罗先生\n是通过转移灵魂，使用多个肉体\n的人吧？
92,关于这个，我有一个\n想法。
91,确实，被问到的可能性很高呢。\n毕竟贾纳特军的目的本来就极有可能是\n为了长生不老。
90,所以，如果谈判中被问到关于长生不老的事\n你打算怎么办？
84,…………
83,但如果您也是炼金术师的话，\n恳请您能理解我对那份秘奥的兴趣。
82,您没有把『那个』作为谈判筹码，\n说明那是秘奥吧。\n我深知这一点……
81,卡里奥斯特罗大人。\n您……已经实现了\n长生不老吗？
80,……最后能否容我\n再请教一个问题？
79,我再说最后一遍。\n别再废话了，赶快把\n穿越异界之法交出来。
78,啧……！
77,——还是说，你们想要\n专门为这座岛调整过的术式本身？
76,无论什么，无论多少，只要你们想要\n我就给你们炼成。\n要把整座岛都重新改造一遍吗？
75,改变物质的构成和形状，\n是这个国家的炼金术所舍弃的技术。\n你们应该是渴望得要命吧。
74,对你们来说也是如此吧？\n不管那金色是什么都无所谓。
73,只是普通的炼金术而已。那个\n不管是绯绯色金、黄金还是黄铁矿，\n对我来说都没什么区别。
72,……听说您在一瞬间就炼成了一座金色的雕像。\n士兵们还在议论那是不是绯绯色金呢。
71,关于我的炼金术的事\n你听说了吧？
70,怎么？你有什么不满吗？\n没办法啊。\n你是想要钱？还是技术？
69,那个嘛……嗯。\n您到底是从哪里听说的——
68,这是传说中的救世主大人的请求。\n把那个交出来吧。
67,看来是真的有了。\n那就好办了。
66,——…………
65,……穿越异界之法。\n有的吧？\n去往和这里完全不同的世界的方法。
64,请您尽管吩咐。\n既然是卡里奥斯特罗大人的请求，\n我们绝不会怠慢。
63,而且……如果我没猜错的话，\n看来正题并不是关于炼成阵和星晶兽的。
62,既然如此，请您不要再如此恶趣味地\n非要我亲口说出机密情报了。
61,……请您宽恕。\n以卡里奥斯特罗大人的慧眼，想必已经\n看穿我们的计划了吧？
60,我们才不管你们要干什么。\n但是，你不觉得你们\n应该有点分寸吗？
59,看来你们用我赐予的炼金术，\n为所欲为得很开心嘛。
58,别在这里装傻了。\n连接战场的\n炼成阵的事我也一清二楚。
57,如果可以的话，希望能得到\n卡里奥斯特罗大人的慈悲……\n请问，那是一只怎样的星晶兽呢？
56,关于星晶兽的事我并不知情，但\n如果有野生的星晶兽在战场上定居，\n对我国来说确实是个隐患。
55,既然你出面了，那就说明我们\n掌握的秘密确实\n具有相当的价值，这准没错吧。
54,（不过，能把他引出来\n目的就已经达到了。\n接下来就看我的交涉了……）
53,（说得好听。反正\n你根本就不相信）
52,怎么会。在这座岛上，没有人会\n对卡里奥斯特罗大人不敬的。
51,……如果不是老头子的样子\n你们就不打算放尊重些吗？
50,金发金眼的男人……\n很好懂吧？
49,这可真是让人惊讶。\n那位传说中的炼金术师，\n竟然是这样一位少年。
43,这简直就是本大爷的完美翻版吧？
42,做得有点夸张了呢，哥哥……
41,（为什么要在这种无聊的地方\n逞强啊……？）
40,那座雕像，是不是比\n爱德华先生还要高一点……？
39,——去告诉他们，炼金术祖师\n卡里奥斯特罗大驾光临了。
38,事情关乎以北部为首的\n多处战场上的\n军事设施和星晶兽。
37,什么……！？\n这金色的，难道是……！？
20,抱歉，我赶时间。\n麻烦帮我通报一下上面的人。
19,站住。\n这里是中央司令部。\n如果是找军队有事的话——
13,……好！\n事到如今只能干了，走吧！
12,那种开玩笑般的炼金术\n真的能作为证明吗？
11,只要给他们看那个就完美了☆
10,没～问～题～的☆\n只要用<span class='scene-font-spword'>『那个炼金术』</span>的话\n他们一定会相信的！
9,我会声援你的！
8,真的没问题吗，哥哥可别\n突然暴走啊。
7,是不是卡里奥斯特罗本人不重要。\n只要展示出足以让他们认为\n可能是本尊的炼金术就行了。
6,听好了，这个作战的关键在于\n让他们觉得『军事机密被\n厉害的炼金术师掌握了』。
5,对这岛上的人来说，卡里奥斯特罗\n是一千多年前的伟人吧？突然在现代\n出现，怎么看都是个骗子吧！？
4,装成那个家伙就能让人相信吗？
3,说到炼金术师卡里奥斯特罗\n那可是教科书上都有名的伟人呢！
2,没问题没问题☆\n拿出自信来，爱德……不对，\n师父☆
1,喂，这个作战\n真的能行吗？
0-synopsis,爱德华利用这座岛上流传的关于祖师卡里奥斯特罗是个金发金眼男子的传说，自称祖师潜入了贾纳特军的中央司令部。当爱德华逼迫将军交出穿越异界之法时，将军反问他是否实现了长生不老。于是阿尔冯斯展示了自己空荡荡的铠甲，并谎称是通过转移灵魂的法术实现了长生不老。见此情形，将军表示要换个地方详谈。
0-chapter_name,第3话 作战开始
