id,trans
filename,scene_evt141031_cp1_q3_s10
translator,Gemini
info,scene_evt141031_cp1_q3_s10
21,我认为不否定任何一方，\n而是见识各自的优点并以此改善村庄\n是一件很棒的事！
20,外面的世界，\n有很多令人叹为观止的东西。\n与此同时，村子里也有值得骄傲的地方。
19,我在寻找姐姐的旅途中，\n也见识和听闻过岛外的事，\n了解到各种各样的事物。
18,没关系，阿斯特蕾娅。\n你真的很\n为村子着想呢。
17,……！\n对、对不起！\n我、我太激动了……！
16,但是如果我通过了守护者的试炼，\n长老们也会认可新的知识和技术\n是有用的！
15,长老们不喜欢岛外的东西。\n我使用十字弓的事，\n他们好像也不太高兴……
14,我了解到岛外有很多\n我们不具备的知识、学问和技术。\n这些一定也能派上用场的！
13,为了寻找可以代替弓箭的武器，\n我开始阅读从外界流传进来的书籍……\n我学习了岛外的知识。
12,但是，我现在\n不仅仅是想成为守护者。
11,我也想为村子效力，\n所以一开始是接受弓箭训练的。
10,又要和魔物战斗，\n「不可触碰之物」又很危险，\n为什么要立志成为守护者啊？
9,是的。\n说来惭愧，\n我总是发烧……
8,话说回来，阿斯特蕾娅\n以前身体很弱来着？
7,呜哇——……\n那要成为守护者\n当然需要试炼了……！
6,是的。据说意志薄弱的人\n只要进入祭坛所在的洞窟\n就会变得疯疯癫癫。
5,负面情感……增幅……\n……总觉得，\n是十分可怕的存在呢……
4,可以确定的是，它在古老的时代被封印在这座岛的祭坛上，\n拥有增幅人与魔物心中负面情感\n的力量……
3,「不可触碰之物」是什么，\n就连我们村的长老也不知晓。
2,什、什么，召唤魔物……！？\n「不可触碰之物」，\n到底是什么东西？
1,是的。祭坛的守护者，\n就是要和「不可触碰之物」\n所召唤的魔物战斗！
0,守护者，\n是说要带着武器\n和魔物战斗吗？
0-synopsis,据说守护者所守护的祭坛上，封印着拥有增幅负面情感之力的「不可触碰之物」。阿斯特蕾娅说，她想成为守护者为村子效力，也想让长老们认可她所知的岛上没有的学问和技术，并将其用于造福村庄。听到这番话，丝黛拉也表示赞同，认为见识其他岛屿的优点并以此改善村庄是一件很棒的事。
0-chapter_name,守护者之岛
