id,trans
filename,scene_evt260311_cp9_q3_s10
translator,gemini-3.1-pro-preview
info,scene_evt260311_cp9_q3_s10
100,倾注了这份情感的一击，\n最终将最后的星之民\n升华为了星晶兽。
97,（仅此而已……\n但我绝对不想失去\n这片天空的世界……！！）
96,（但是……\n对我来说，\n那段时光是珍贵的回忆……）
95,（说实话，我现在脑子里一团乱，\n连自己都搞不清楚到底是怎么回事了……）
94,（不去在意种族的差异，\n大家一起吃的饭真的很美味）
93,（空之民、星之民、地之民……）
92,就在这时，奥诺斯凯莉丝的脑海中，\n回想起了大家围坐在一起的餐桌。
91,（这样啊……\n那个黄金骑士的末裔，\n也和我一样啊……）
88,……！
87,即便如此也未曾逃避……\n也不想逃避的经历……！
86,我也有过这样的经历……\n被与自身不相称的立场弄得焦头烂额，\n痛感自己的无能……
85,我怎么可能抛下你……！
84,笨蛋……！\n别管我了，\n你赶紧逃啊！
83,<span class='scene-font-4'>奥诺斯凯莉丝！</span>\n你继续你的工作！\n这家伙我来压制……！
80,……！\n无路可逃了吗……
79,────
78,下一瞬间，\n一只巨大的星晶兽冲破了秩序骑空团的厅舍，\n露出了它的面容。
68,！？怎么回事……！？
64,所以——
63,但是，即便我能原谅无能的自己，\n我也无法原谅在关键时刻选择逃避，\n那般卑鄙的自己。
62,…………
61,什么肩负着天空的未来之类的，\n说实话，这对我这种无能的人来说\n负担太重了……
60,温柔……？\n不对，我只是对自己不抱期待而已。
59,你还真是……温柔啊。
58,看着即便脸色苍白\n仍在担心同胞的奥诺斯凯莉丝，\n阿莉亚的神情有了些许的动摇。
57,如果在最坏的最后时刻，他们没能在身旁，\n那两人一定会后悔的……
56,我也不知道自己能不能撑到\n将最后一个人星晶兽化……
55,不是说了……\n不要对我抱有期待吗……
54,本来可以让他们留在这里，\n给奥尔姬丝陛下和希特莉她们\n另外安排护卫的……
53,这样好吗？
52,呼……呼……
51,秩序骑空团员也前往传达下一条命令，\n房间里只剩下了奥诺斯凯莉丝和阿莉亚。
48,奥诺斯凯莉丝。\n大概现在，天空的未来，\n都寄托在你身上了呢。
47,虽然不太想给你压力……
44,谢谢你，奥诺斯凯莉丝。\n这份恩情我一定会报的……！
43,…………
42,去吧，贝莱斯特。米卡波西也是，\n去保护你们的女儿吧。
41,抱歉，我——
40,……！
39,在蒂莫利亚岛周边，\n也有星晶兽复活，\n各地都爆发了战斗！
38,不对，也是呢……\n如果作为战力复活的话，\n确实是和别西卜司令官一样合适的人选！
37,那位魔王……！？
36,……捕捉到了。\n这股魔力，是阿斯塔罗特的。
20,…………
19,那、那是什么……！
18,据说过去在霸空战争中消失的\n星晶兽和<span class='scene-font-spword'>星之民</span>\n正在接连复活……！
17,以疑似普罗克勒斯据点的岛屿为中心，\n正展开着结界一般的魔力……
16,是！报告！
15,……看样子，似乎非同小可啊。
14,打、打扰了！
11,没、事……\n还差一点……\n就差一点了……
8,没事吧！？\n果然太勉强了吗……
5,呃……
4,哼、哼哼……\n那是……我只要做也是能做到的好孩子——
3,没想到你还挺能干的嘛。\n我对你稍微有点刮目相看了，\n奥诺斯凯莉丝。
2,只剩一点了……\n接下来我们这边还能帮上什么忙呢。
1,…………
0-synopsis,奥诺斯凯莉丝等人继续将成为星骸壳素材的星之民星晶兽化，霸空战争重演的消息也传到了她们耳中。得知魔爪正逼近家人的贝莱斯特与米卡波西一同前去支援。就在那之后，巨大的星晶兽来袭，奥诺斯凯莉丝催促阿莉亚逃跑。然而，在得知阿莉亚也有过因为自己的无能而不想逃避的经历后，奥诺斯凯莉丝重新下定决心，将最后的星之民升华为了星晶兽。
0-chapter_name,第9话 觉醒
