id,trans
filename,scene_evt150131_cp6_q3_s20
translator,Gemini
info,scene_evt150131_cp6_q3_s20
28,虽然不知道发生了什么事，\n但只能打倒它们了！\n上吧，姬塔！
27,什么！？\n大锅里不断地\n涌出黑色魔物！
26,啊啊啊啊啊啊！！
23,啊啊啊啊啊啊！！
22,是时候用怨恨填满这个世界了！\n出来吧，黑色泪水之子等！！
21,布兰雯，很讨厌这样！\n我不知道您想做什么，\n但请住手吧！
20,……！？\n住、住手，乌玛尔大人！
19,呜……呜呜……
15,……大锅啊……\n你就是盛满悲痛泪水的容器……
14,诶……乌玛尔、大人……！？\n咳咳！咳咳！！
13,可怜的孩子……\n要是没有觉醒的话，\n就能毫无痛苦地死去了！！
12,莎拉！\n你注意到什么了吗！？
11,……唔……
10,哈哈，波蕾米亚。\n竟敢对我如此嚣张。
9,把你逼入绝境了，乌玛尔！
4,休想！\n追上去！！
3,啊！那些家伙，\n竟然想骑着\n驮有大锅的骆驼逃跑！！
1,乌玛尔大人！\n这边！！
0,唔……！\n近卫队竟然败了……
0-synopsis,尽管乌玛尔对近卫队战败一事感到动摇，但在近卫队长的催促下还是逃走了。姬塔一行人急忙追赶乌玛尔和近卫队。被逼入绝境的乌玛尔开始咏唱咒文，布兰雯见状面露惧色。莎拉担心布兰雯，试图阻止乌玛尔，但乌玛尔的咏唱已经结束了。随着咒文生效，黑色魔物从大锅中被不断召唤出来。
0-chapter_name,第六话 为她拭去泪水之人
